,Feature,Mean,Std Dev
207,0_FFT mean coefficient_147,2.18150948033e-10,1.76893602873e-09
208,0_FFT mean coefficient_148,2.14355390949e-10,1.66600887611e-09
209,0_FFT mean coefficient_149,2.44368584485e-10,3.45155228838e-09
210,0_FFT mean coefficient_150,2.06977903984e-10,2.87277250862e-09
211,0_FFT mean coefficient_151,1.46869007528e-10,1.33524906583e-09
212,0_FFT mean coefficient_152,1.13404380676e-10,8.36945309694e-10
213,0_FFT mean coefficient_153,9.95432636825e-11,7.2161179204e-10
214,0_FFT mean coefficient_154,7.27967484809e-11,4.72251545832e-10
215,0_FFT mean coefficient_155,6.12043983443e-11,3.9770327632e-10
216,0_FFT mean coefficient_156,5.16758960559e-11,3.19199411331e-10
217,0_FFT mean coefficient_157,4.46540194964e-11,2.90819385296e-10
218,0_FFT mean coefficient_158,3.89819746043e-11,2.80867396869e-10
219,0_FFT mean coefficient_159,3.27453677232e-11,2.10893052742e-10
220,0_FFT mean coefficient_160,2.80629798838e-11,1.91781888563e-10
221,0_FFT mean coefficient_161,2.4309304018e-11,1.74133478423e-10
222,0_FFT mean coefficient_162,2.08702153812e-11,1.66442564243e-10
223,0_FFT mean coefficient_163,1.80267752009e-11,1.34830164255e-10
224,0_FFT mean coefficient_164,1.52987140026e-11,1.00214509105e-10
225,0_FFT mean coefficient_165,1.32981491991e-11,8.90511469936e-11
226,0_FFT mean coefficient_166,1.14903675767e-11,8.5129655432e-11
227,0_FFT mean coefficient_167,9.59175050482e-12,6.35724768676e-11
228,0_FFT mean coefficient_168,8.34151998093e-12,5.65346088314e-11
229,0_FFT mean coefficient_169,6.94147657836e-12,4.64387294852e-11
230,0_FFT mean coefficient_170,5.97414799103e-12,4.17205150269e-11
231,0_FFT mean coefficient_171,5.0223177665e-12,3.51792159414e-11
232,0_FFT mean coefficient_172,4.30331805284e-12,3.13512555013e-11
233,0_FFT mean coefficient_173,3.64860830206e-12,2.55330332496e-11
234,0_FFT mean coefficient_174,3.11642759263e-12,2.26199200135e-11
235,0_FFT mean coefficient_175,2.60865767947e-12,1.91365885488e-11
236,0_FFT mean coefficient_176,2.1887801907e-12,1.66013511405e-11
237,0_FFT mean coefficient_177,1.86057136881e-12,1.39466784382e-11
238,0_FFT mean coefficient_178,1.64234702223e-12,1.24363361871e-11
239,0_FFT mean coefficient_179,1.41277248381e-12,1.09202002961e-11
240,0_FFT mean coefficient_180,1.1570380199e-12,9.06849440626e-12
241,0_FFT mean coefficient_181,9.8107896063e-13,8.1621910158e-12
